Date,Open,High,Low,Close,Adj Close,Volume
2024-01-01,381.72,418.12,378.5,416.65,416.65,189436
2024-01-02,115.84,145.06,84.93,98.72,98.72,792954
2024-01-03,322.02,335.7,305.68,315.06,315.06,728869
2024-01-04,494.02,500.19,462.15,468.52,468.52,629580
2024-01-05,361.71,405.07,320.5,362.97,362.97,107266
2024-01-06,126.33,157.98,98.8,146.48,146.48,937477
2024-01-07,490.32,537.04,480.05,520.22,520.22,773390
2024-01-08,219.97,246.14,195.7,217.38,217.38,508171
2024-01-09,353.64,389.15,346.74,380.05,380.05,142968
2024-01-10,409.07,435.92,397.12,433.85,433.85,936919
2024-01-11,334.68,365.62,315.27,324.47,324.47,631244
2024-01-12,227.12,242.22,210.41,216.89,216.89,579267
2024-01-13,404.08,414.34,385.43,406.64,406.64,990110
2024-01-14,148.02,188.08,106.89,183.41,183.41,395235
2024-01-15,433.9,472.16,398.44,464.72,464.72,362533
2024-01-16,201.95,232.46,185.46,227.25,227.25,762697
2024-01-17,468.59,494.6,446.21,449.87,449.87,596500
2024-01-18,200.89,205.28,155.91,201.38,201.38,242693
2024-01-19,497.29,537.83,461.77,506.87,506.87,851114
2024-01-20,454.3,498.59,431.71,471.46,471.46,479762
2024-01-21,407.31,436.05,387.66,410.69,410.69,382466
2024-01-22,344.64,382.29,304.6,334.18,334.18,151563
2024-01-23,180.24,185.33,161.21,180.89,180.89,268334
2024-01-24,339.44,379.99,331.8,379.61,379.61,266872
2024-01-25,156.4,180.47,128.04,174.83,174.83,958254
2024-01-26,191.7,217.46,151.66,175.03,175.03,840114
2024-01-27,165.34,180.36,117.25,135.69,135.69,178659
2024-01-28,269.6,294.21,229.52,285.02,285.02,814604
2024-01-29,253.35,279.29,228.84,247.96,247.96,279150
2024-01-30,283.36,296.04,244.75,283.63,283.63,322318
2024-01-31,111.03,120.22,79.58,111.46,111.46,247122
2024-02-01,417.73,425.89,404.17,419.91,419.91,467049
2024-02-02,267.52,284.46,233.71,243.1,243.1,469218
2024-02-03,394.97,407.56,361.46,384.07,384.07,579222
2024-02-04,390.86,423.71,353.95,417.43,417.43,122121
2024-02-05,319.19,366.77,269.77,315.81,315.81,688711
2024-02-06,493.6,510.82,448.87,485.79,485.79,773225
2024-02-07,193.31,232.15,171.16,210.66,210.66,870078
2024-02-08,460.67,490.77,447.96,454.43,454.43,693088
2024-02-09,310.07,351.69,267.87,317.38,317.38,878468
2024-02-10,134.27,170.27,104.51,115.91,115.91,198009
2024-02-11,373.36,379.65,367.77,373.63,373.63,791925
2024-02-12,124.9,164.43,78.34,124.42,124.42,555948
2024-02-13,310.1,316.69,300.87,304.19,304.19,784888
2024-02-14,475.35,498.22,450.26,470.62,470.62,571709
2024-02-15,319.16,335.41,277.92,296.61,296.61,943120
2024-02-16,388.61,403.43,339.9,343.89,343.89,651752
2024-02-17,103.35,144.36,84.04,102.85,102.85,308022
2024-02-18,295.8,306.6,283.51,285.38,285.38,235186
2024-02-19,438.74,456.27,394.0,446.44,446.44,162508
2024-02-20,458.47,485.81,438.45,461.37,461.37,727510
2024-02-21,437.31,440.79,389.78,395.88,395.88,202186
2024-02-22,312.22,349.03,279.42,300.58,300.58,151473
2024-02-23,353.11,375.8,309.77,310.42,310.42,821263
2024-02-24,396.48,429.95,382.28,428.72,428.72,379148
2024-02-25,206.35,216.06,158.6,193.38,193.38,595173
2024-02-26,347.45,374.99,314.86,369.68,369.68,267554
2024-02-27,314.66,363.36,282.83,355.79,355.79,285964
2024-02-28,486.75,517.12,453.63,476.55,476.55,478251
2024-02-29,195.9,230.91,191.33,217.85,217.85,421997
2024-03-01,368.95,407.09,325.08,358.08,358.08,478173
2024-03-02,381.49,420.33,336.22,375.29,375.29,581645
2024-03-03,275.0,302.51,258.14,258.35,258.35,620987
2024-03-04,409.42,444.01,386.8,409.89,409.89,229472
2024-03-05,354.45,384.63,331.52,365.56,365.56,962936
2024-03-06,207.32,227.47,193.39,226.77,226.77,795014
2024-03-07,328.61,376.17,297.29,300.07,300.07,868966
2024-03-08,437.19,462.62,402.76,405.04,405.04,660064
2024-03-09,303.72,307.57,290.47,306.44,306.44,129963
2024-03-10,257.4,287.65,215.65,277.92,277.92,987382
2024-03-11,230.31,273.31,196.83,203.31,203.31,674629
2024-03-12,285.64,310.33,243.99,298.6,298.6,695437
2024-03-13,149.69,160.45,123.48,147.79,147.79,608723
2024-03-14,229.38,269.33,196.85,212.0,212.0,680723
2024-03-15,253.24,267.96,230.72,244.48,244.48,218600
2024-03-16,229.33,271.64,214.09,271.52,271.52,702390
2024-03-17,301.32,343.38,271.16,272.33,272.33,977569
2024-03-18,159.99,187.99,131.85,158.31,158.31,909493
2024-03-19,424.99,461.92,413.22,427.32,427.32,955481
2024-03-20,168.35,215.87,123.6,142.58,142.58,484876
2024-03-21,167.75,207.55,160.04,192.13,192.13,711142
2024-03-22,225.09,273.71,220.26,256.52,256.52,807324
2024-03-23,408.12,419.41,396.93,417.26,417.26,136566
2024-03-24,316.41,336.44,281.79,303.81,303.81,204020
2024-03-25,164.71,205.84,146.29,156.17,156.17,355596
2024-03-26,388.69,417.87,367.46,373.35,373.35,643093
2024-03-27,473.23,513.96,449.66,499.96,499.96,116162
2024-03-28,108.34,132.85,79.12,121.83,121.83,852364
2024-03-29,238.61,243.28,205.7,222.53,222.53,212988
2024-03-30,286.69,329.29,262.47,284.56,284.56,291821
2024-03-31,422.29,453.99,415.82,449.74,449.74,247671
2024-04-01,100.79,149.88,66.9,128.07,128.07,181825
2024-04-02,448.46,468.27,414.99,424.38,424.38,343999
2024-04-03,178.8,185.86,141.37,170.48,170.48,106139
2024-04-04,245.34,290.53,228.53,244.54,244.54,366019
2024-04-05,298.48,326.56,298.37,314.45,314.45,450858
2024-04-06,412.17,448.28,409.48,413.88,413.88,729338
2024-04-07,143.29,172.16,99.67,154.33,154.33,159202
2024-04-08,304.74,324.55,278.06,294.55,294.55,603633
2024-04-09,181.43,227.43,156.61,189.2,189.2,743870
